75 | .nki | strings, kanun | E:\Kontakt Factory Library 2 Library\Instruments\Acoustic\4 - Plucked Strings\Kanun.nki
75 | .nki | violin, strings | E:\Kontakt Factory Library 2 Library\Instruments\Orchestral\4 - Strings\Violins.nki
65 | .nki | ney | E:\Kontakt Factory Library 2 Library\Instruments\Acoustic\1 - Flutes\Persian Ney.nki
65 | .nki | ney | E:\Kontakt Factory Library 2 Library\Instruments\Acoustic\1 - Flutes\Turkish Ney.nki
65 | .nki | strings | E:\Kontakt Factory Library 2 Library\Instruments\Acoustic\3 - Bowed Strings\Erhu.nki
65 | .nki | strings | E:\Kontakt Factory Library 2 Library\Instruments\Acoustic\3 - Bowed Strings\Fiddle.nki
65 | .nki | strings | E:\Kontakt Factory Library 2 Library\Instruments\Acoustic\3 - Bowed Strings\Hurdy Gurdy.nki
65 | .nki | strings | E:\Kontakt Factory Library 2 Library\Instruments\Acoustic\3 - Bowed Strings\Kemence.nki
65 | .nki | strings | E:\Kontakt Factory Library 2 Library\Instruments\Acoustic\4 - Plucked Strings\Guzheng.nki
65 | .nki | strings | E:\Kontakt Factory Library 2 Library\Instruments\Acoustic\4 - Plucked Strings\Kora.nki
65 | .nki | strings | E:\Kontakt Factory Library 2 Library\Instruments\Acoustic\4 - Plucked Strings\Koto.nki
65 | .nki | strings | E:\Kontakt Factory Library 2 Library\Instruments\Acoustic\4 - Plucked Strings\Nyatiti.nki
65 | .nki | oud | E:\Kontakt Factory Library 2 Library\Instruments\Acoustic\5 - Lutes\Oud.nki
65 | .nki | strings | E:\Kontakt Factory Library 2 Library\Instruments\Band\5 - Guitar\Acoustic Fingered 12 Strings.nki
65 | .nki | strings | E:\Kontakt Factory Library 2 Library\Instruments\Band\5 - Guitar\Acoustic Picked 12 Strings.nki
65 | .nki | strings | E:\Kontakt Factory Library 2 Library\Instruments\Band\5 - Guitar\Acoustic Strummed 12 Strings.nki
65 | .nki | oud | E:\Kontakt Factory Library 2 Library\Instruments\Beats\Colour\Colour - Cloud.nki
65 | .nki | oud | E:\Kontakt Factory Library 2 Library\Instruments\Beats\Distorted\Distorted - Cloud.nki
65 | .nki | oud | E:\Kontakt Factory Library 2 Library\Instruments\Beats\Flair\Flair - Cloud.nki
65 | .nki | oud | E:\Kontakt Factory Library 2 Library\Instruments\Beats\Flanger\Flanger - Cloud.nki
65 | .nki | oud | E:\Kontakt Factory Library 2 Library\Instruments\Beats\Space\Space - Cloud.nki
65 | .nki | strings | E:\Kontakt Factory Library 2 Library\Instruments\Orchestral\4 - Strings\Basses.nki
